subject_id,type,中文名,年份,片长,评分,评价人数,国家,语言,类型,主演,导演,IMDB编号
1292052,Movie,肖申克的救赎,1994,PT2H22M,9.7,1661782,美国,英语,犯罪/剧情,蒂姆·罗宾斯,弗兰克·德拉邦特,tt0111161
1291841,Movie,教父,1972,PT2H55M,9.3,568190,美国,英语,剧情/犯罪,马龙·白兰度,弗朗西斯·福特·科波拉,tt0068646
1299131,Movie,教父2,1974,PT3H22M,9.2,309531,美国,英语,剧情/犯罪,阿尔·帕西诺,弗朗西斯·福特·科波拉,tt0071562
1851857,Movie,蝙蝠侠：黑暗骑士,2008,PT2H32M,9.2,606230,美国,英语,剧情/动作/科幻/犯罪/惊悚,克里斯蒂安·贝尔,克里斯托弗·诺兰,tt0468569
1293182,Movie,十二怒汉,1957,PT1H36M,9.4,272638,美国,英语,剧情,亨利·方达,西德尼·吕美特,tt0050083
1295124,Movie,辛德勒的名单,1993,PT3H15M,9.5,663843,美国,英语,剧情/历史/战争,连姆·尼森,史蒂文·斯皮尔伯格,tt0108052
1291552,Movie,指环王3：王者无敌,2003,PT3H21M,9.2,454214,美国,英语,剧情/动作/奇幻/冒险,维果·莫腾森,彼得·杰克逊,tt0167260
1291832,Movie,低俗小说,1994,PT2H34M,8.8,520963,美国,英语,剧情/喜剧/犯罪,约翰·特拉沃尔塔,昆汀·塔伦蒂诺,tt0110912
1401118,Movie,黄金三镖客,1966,PT2H41M,9.1,74851,意大利,意大利语,冒险/西部,克林特·伊斯特伍德,赛尔乔·莱昂内,tt0060196
1292000,Movie,搏击俱乐部,1999,PT2H19M,9,566258,美国,英语,剧情/动作/悬疑/惊悚,爱德华·诺顿,大卫·芬奇,tt0137523
1291571,Movie,指环王1：魔戒再现,2001,PT2H58M,9,474125,新西兰,英语,剧情/动作/奇幻/冒险,伊利亚·伍德,彼得·杰克逊,tt0120737
1292720,Movie,阿甘正传,1994,PT2H22M,9.5,1286618,美国,英语,剧情/爱情,汤姆·汉克斯,罗伯特·泽米吉斯,tt0109830
27119724,Movie,小丑,2019,PT2H2M,9.2,54092,加拿大,英语,剧情/犯罪/惊悚,杰昆·菲尼克斯,托德·菲利普斯,tt7286456
3541415,Movie,盗梦空间,2010,PT2H28M,9.3,1260244,美国,英语,剧情/科幻/悬疑/冒险,莱昂纳多·迪卡普里奥,克里斯托弗·诺兰,tt1375666
1296528,Movie,星球大战2：帝国反击战,1980,PT2H4M,8.3,67435,美国,英语,动作/冒险/科幻,马克·哈米尔,厄文·克什纳,tt0080684
1291572,Movie,指环王2：双塔奇兵,2002,PT2H59M,9,422008,美国,英语,剧情/动作/奇幻/冒险,伊利亚·伍德,彼得·杰克逊,tt0167261
1291843,Movie,黑客帝国,1999,PT2H16M,8.9,461934,美国,英语,动作/科幻,基努·里维斯,莉莉·沃卓斯基,tt0133093
1292224,Movie,飞越疯人院,1975,PT2H13M,9.1,388069,美国,英语,剧情,杰克·尼科尔森,米洛斯·福尔曼,tt0073486
1292268,Movie,好家伙,1990,PT2H26M,8.4,68848,美国,英语,剧情/传记/犯罪,罗伯特·德尼罗,马丁·斯科塞斯,tt0099685
1295399,Movie,七武士,1954,PT2H40M,9.2,114350,日本,日语,动作/冒险/剧情,三船敏郎,黑泽明,tt0047478
1292223,Movie,七宗罪,1995,PT2H7M,8.8,619637,美国,英语,剧情/犯罪/悬疑/惊悚,摩根·弗里曼,大卫·芬奇,tt0114369
1292208,Movie,上帝之城,2002,PT2H10M,8.9,207624,巴西,葡萄牙语,犯罪/剧情,亚历桑德雷·罗德里格斯,费尔南多·梅里尔斯,tt0317248
1292063,Movie,美丽人生,1997,PT1H56M,9.5,752083,意大利,意大利语,剧情/喜剧/爱情/战争,罗伯托·贝尼尼,罗伯托·贝尼尼,tt0118799
1293544,Movie,沉默的羔羊,1991,PT1H58M,8.8,521318,美国,英语,剧情/犯罪/惊悚,朱迪·福斯特,乔纳森·戴米,tt0102926
1293749,Movie,生活多美好,1946,PT2H10M,9.2,49017,美国,英语,剧情/爱情/奇幻,詹姆斯·斯图尔特,弗兰克·卡普拉,tt0038650
1293838,Movie,星球大战,1977,PT2H1M,8.4,88334,美国,英语,动作/科幻/冒险,哈里森·福特,乔治·卢卡斯,tt0076759
1292849,Movie,拯救大兵瑞恩,1998,PT2H49M,9,390844,美国,英语,剧情/历史/战争,汤姆·汉克斯,史蒂文·斯皮尔伯格,tt0120815
1291561,Movie,千与千寻,2001,PT2H5M,9.3,1315066,日本,日语,剧情/动画/奇幻,柊瑠美,宫崎骏,tt0245429
1300374,Movie,绿里奇迹,1999,PT3H9M,8.8,157464,美国,英语,犯罪/剧情/奇幻/悬疑,汤姆·汉克斯,弗兰克·德拉邦特,tt0120689
1295644,Movie,这个杀手不太冷,1994,PT1H50M,9.4,1480159,法国,英语,剧情/动作/犯罪,让·雷诺,吕克·贝松,tt0110413
1889243,Movie,星际穿越,2014,PT2H49M,9.3,912444,美国,英语,剧情/科幻/冒险,马修·麦康纳,克里斯托弗·诺兰,tt0816692
1304920,Movie,切腹,1962,PT2H13M,9.3,18659,日本,日语,剧情,仲代达矢,小林正树,tt0056058
1292214,Movie,非常嫌疑犯,1995,PT1H46M,8.6,170584,德国,英语,剧情/犯罪/悬疑/惊悚,史蒂芬·鲍德温,布莱恩·辛格,tt0114814
1301753,Movie,狮子王,1994,PT1H29M,9,469000,美国,英语,动画/冒险/歌舞,乔纳森·泰勒·托马斯,罗杰·阿勒斯,tt0110357
1293527,Movie,美国X档案,1998,PT1H59M,8.5,73391,美国,英语,犯罪/剧情,爱德华·诺顿,托尼·凯耶,tt0120586
1300555,Movie,回到未来,1985,PT1H56M,8.6,109562,美国,英语,喜剧/科幻/冒险,迈克尔·J·福克斯,罗伯特·泽米吉斯,tt0088763
1296736,Movie,钢琴家,2002,PT2H30M,9.1,309272,法国,英语,剧情/传记/历史/战争/音乐,艾德里安·布洛迪,罗曼·波兰斯基,tt0253474
1294371,Movie,摩登时代,1936,PT1H27M,9.3,160614,美国,英语,剧情/喜剧/爱情,查理·卓别林,查理·卓别林,tt0027977
1291844,Movie,终结者2：审判日,1991,PT2H17M,8.7,209106,美国,英语,动作/科幻,阿诺·施瓦辛格,詹姆斯·卡梅隆,tt0103064
6786002,Movie,触不可及,2011,PT1H52M,9.2,603656,法国,法语,剧情/喜剧,弗朗索瓦·克鲁塞,奥利维埃·纳卡什,tt1675434
1293181,Movie,惊魂记,1960,PT1H49M,8.9,134867,美国,英语,悬疑/惊悚/恐怖,安东尼·博金斯,阿尔弗雷德·希区柯克,tt0054215
1293530,Movie,角斗士,2000,PT2H35M,8.5,152397,美国,英语,剧情/动作/冒险,罗素·克劳,雷德利·斯科特,tt0172495
1293908,Movie,城市之光,1931,PT1H27M,9.3,69187,美国,英语,喜剧/剧情/爱情,查理·卓别林,查理·卓别林,tt0021749
1315316,Movie,无间道风云,2006,PT2H31M,7.2,94187,美国,英语,剧情/犯罪/惊悚,莱昂纳多·迪卡普里奥,马丁·斯科塞斯,tt0407887
25773932,Movie,爆裂鼓手,2014,PT1H47M,8.7,338807,美国,英语,剧情/音乐,迈尔斯·特勒,达米恩·查泽雷,tt2582802
1293394,Movie,西部往事,1968,PT2H55M,8.6,28609,意大利,英语,剧情/犯罪/西部,亨利·方达,赛尔乔·莱昂内,tt0064116
1780330,Movie,致命魔术,2006,PT2H10M,8.8,522592,美国,英语,剧情/悬疑/惊悚,休·杰克曼,克里斯托弗·诺兰,tt0482571
